Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-07-26 14:40:39.056,-0.83682,-0.87029
Serial Number:,MY60101365,,2022-07-26 14:40:39.557,-1.07113,-0.82008
Firmware Version:,07.31.2020012900,,2022-07-26 14:40:40.057,-0.90377,-0.87029
Start Time:,2022-07-26 14:40:39.056,,2022-07-26 14:40:40.557,-0.98745,-0.78661
Stop Time:,2022-07-26 15:00:39.057,,2022-07-26 14:40:41.057,-0.76987,-0.66946
Sample Period:,0.5,,2022-07-26 14:40:41.556,-0.90377,-0.80335
,,,2022-07-26 14:40:42.057,-0.93724,-0.78661
,,,2022-07-26 14:40:42.558,-0.93724,-0.80335
,,,2022-07-26 14:40:43.056,-0.88703,-0.78661
,,,2022-07-26 14:40:43.556,-0.9205,-0.75314
,,,2022-07-26 14:40:44.056,-0.87029,-0.90377
,,,2022-07-26 14:40:44.556,-0.88703,-0.82008
,,,2022-07-26 14:40:45.056,-0.88703,-0.70293
,,,2022-07-26 14:40:45.556,-0.82008,-0.97071
,,,2022-07-26 14:40:46.056,-1.00418,-0.80335
,,,2022-07-26 14:40:46.556,-0.87029,-0.80335
,,,2022-07-26 14:40:47.056,-0.90377,-0.83682
,,,2022-07-26 14:40:47.556,-0.82008,-0.71967
,,,2022-07-26 14:40:48.056,-0.82008,-0.7364
,,,2022-07-26 14:40:48.556,-0.88703,-0.75314
,,,2022-07-26 14:40:49.057,-0.98745,-0.7364
,,,2022-07-26 14:40:49.557,-0.80335,-0.82008
,,,2022-07-26 14:40:50.057,-0.95397,-0.71967
,,,2022-07-26 14:40:50.557,-0.76987,-0.63598
,,,2022-07-26 14:40:51.056,-1.00418,-0.76987
,,,2022-07-26 14:40:51.556,-0.85356,-0.87029
,,,2022-07-26 14:40:52.056,-0.87029,-0.76987
,,,2022-07-26 14:40:52.556,-0.93724,-0.9205
,,,2022-07-26 14:40:53.057,-0.90377,-0.85356
,,,2022-07-26 14:40:53.557,-0.83682,-0.70293
,,,2022-07-26 14:40:54.058,-0.9205,-0.76987
,,,2022-07-26 14:40:54.558,-0.9205,-0.7364
,,,2022-07-26 14:40:55.057,-0.95397,-0.66946
,,,2022-07-26 14:40:55.558,-0.88703,-0.75314
,,,2022-07-26 14:40:56.055,-0.78661,-0.68619
,,,2022-07-26 14:40:56.556,-0.80335,-0.78661
,,,2022-07-26 14:40:57.056,-0.88703,-0.78661
,,,2022-07-26 14:40:57.557,-0.88703,-0.85356
,,,2022-07-26 14:40:58.057,-0.85356,-0.7364
,,,2022-07-26 14:40:58.557,-0.75314,-0.71967
,,,2022-07-26 14:40:59.058,-0.87029,-0.87029
,,,2022-07-26 14:40:59.556,-0.9205,-0.75314
,,,2022-07-26 14:41:00.057,-0.87029,-0.82008
,,,2022-07-26 14:41:00.557,-0.87029,-0.7364
,,,2022-07-26 14:41:01.058,-0.78661,-0.93724
,,,2022-07-26 14:41:01.558,-0.82008,-0.78661
,,,2022-07-26 14:41:02.056,-0.76987,-0.80335
,,,2022-07-26 14:41:02.558,-0.90377,-0.78661
,,,2022-07-26 14:41:03.058,-0.80335,-0.97071
,,,2022-07-26 14:41:03.557,-0.88703,-0.76987
,,,2022-07-26 14:41:04.057,-0.80335,-0.78661
,,,2022-07-26 14:41:04.556,-0.93724,-0.76987
,,,2022-07-26 14:41:05.057,-0.95397,-0.78661
,,,2022-07-26 14:41:05.557,-0.87029,-0.68619
,,,2022-07-26 14:41:06.056,-0.9205,-0.80335
,,,2022-07-26 14:41:06.557,-0.71967,-0.63598
,,,2022-07-26 14:41:07.056,-0.95397,-0.71967
,,,2022-07-26 14:41:07.556,-0.9205,-0.7364
,,,2022-07-26 14:41:08.056,-0.78661,-0.83682
,,,2022-07-26 14:41:08.557,-0.80335,-0.76987
,,,2022-07-26 14:41:09.056,-0.9205,-0.80335
,,,2022-07-26 14:41:09.556,-0.95397,-0.83682
,,,2022-07-26 14:41:10.057,-0.85356,-0.90377
,,,2022-07-26 14:41:10.557,-0.95397,-0.87029
,,,2022-07-26 14:41:11.057,-0.97071,-0.85356
,,,2022-07-26 14:41:11.557,-0.9205,-0.90377
,,,2022-07-26 14:41:12.058,-0.87029,-0.9205
,,,2022-07-26 14:41:12.557,-0.90377,-0.85356
,,,2022-07-26 14:41:13.057,-0.87029,-0.87029
,,,2022-07-26 14:41:13.556,-0.85356,-0.82008
,,,2022-07-26 14:41:14.057,-0.82008,-0.93724
,,,2022-07-26 14:41:14.558,-0.9205,-0.75314
,,,2022-07-26 14:41:15.057,-0.98745,-0.7364
,,,2022-07-26 14:41:15.558,-0.87029,-0.85356
,,,2022-07-26 14:41:16.057,-0.97071,-0.82008
,,,2022-07-26 14:41:16.557,-0.87029,-0.85356
,,,2022-07-26 14:41:17.056,-0.9205,-0.78661
,,,2022-07-26 14:41:17.556,-0.97071,-0.78661
,,,2022-07-26 14:41:18.057,-0.9205,-0.78661
,,,2022-07-26 14:41:18.557,-0.95397,-0.82008
,,,2022-07-26 14:41:19.055,-0.88703,-0.83682
,,,2022-07-26 14:41:19.556,-0.78661,-0.80335
,,,2022-07-26 14:41:20.057,-0.9205,-0.87029
,,,2022-07-26 14:41:20.557,-0.82008,-0.76987
,,,2022-07-26 14:41:21.056,-0.88703,-0.88703
,,,2022-07-26 14:41:21.557,-0.90377,-0.7364
,,,2022-07-26 14:41:22.057,-0.98745,-0.7364
,,,2022-07-26 14:41:22.556,-0.85356,-0.76987
,,,2022-07-26 14:41:23.056,-1.08787,-0.82008
,,,2022-07-26 14:41:23.556,-0.88703,-0.80335
,,,2022-07-26 14:41:24.057,-0.82008,-0.83682
,,,2022-07-26 14:41:24.557,-0.93724,-0.87029
,,,2022-07-26 14:41:25.056,-0.9205,-0.71967
,,,2022-07-26 14:41:25.556,-0.80335,-0.78661
,,,2022-07-26 14:41:26.056,-0.80335,-0.78661
,,,2022-07-26 14:41:26.556,-1.00418,-0.70293
,,,2022-07-26 14:41:27.057,-0.97071,-0.78661
,,,2022-07-26 14:41:27.557,-0.93724,-0.7364
,,,2022-07-26 14:41:28.057,-0.95397,-0.76987
,,,2022-07-26 14:41:28.556,-0.88703,-0.66946
,,,2022-07-26 14:41:29.057,-0.9205,-0.93724
,,,2022-07-26 14:41:29.557,-0.90377,-0.80335
,,,2022-07-26 14:41:30.057,-0.87029,-0.7364
,,,2022-07-26 14:41:30.557,-0.83682,-0.87029
,,,2022-07-26 14:41:31.056,-0.76987,-0.76987
,,,2022-07-26 14:41:31.557,-0.83682,-0.80335
,,,2022-07-26 14:41:32.057,-0.93724,-0.76987
,,,2022-07-26 14:41:32.558,-0.90377,-0.80335
,,,2022-07-26 14:41:33.058,-0.93724,-0.7364
,,,2022-07-26 14:41:33.556,-0.82008,-0.68619
,,,2022-07-26 14:41:34.056,-0.85356,-0.76987
,,,2022-07-26 14:41:34.556,-0.87029,-0.82008
,,,2022-07-26 14:41:35.057,-0.9205,-0.78661
,,,2022-07-26 14:41:35.558,-0.87029,-0.78661
,,,2022-07-26 14:41:36.056,-0.98745,-0.66946
,,,2022-07-26 14:41:36.557,-0.82008,-0.71967
,,,2022-07-26 14:41:37.056,-1.02092,-0.7364
,,,2022-07-26 14:41:37.556,-0.97071,-0.68619
,,,2022-07-26 14:41:38.056,-0.82008,-0.88703
,,,2022-07-26 14:41:38.556,-0.85356,-0.76987
,,,2022-07-26 14:41:39.057,-0.9205,-0.87029
,,,2022-07-26 14:41:39.557,-1.02092,-0.87029
,,,2022-07-26 14:41:40.057,-0.85356,-0.70293
,,,2022-07-26 14:41:40.557,-0.87029,-0.82008
,,,2022-07-26 14:41:41.057,-0.87029,-0.90377
,,,2022-07-26 14:41:41.556,-0.85356,-0.76987
,,,2022-07-26 14:41:42.057,-0.87029,-0.78661
,,,2022-07-26 14:41:42.556,-0.83682,-0.68619
,,,2022-07-26 14:41:43.056,-0.87029,-0.87029
,,,2022-07-26 14:41:43.557,-0.80335,-0.78661
,,,2022-07-26 14:41:44.057,-0.93724,-0.71967
,,,2022-07-26 14:41:44.557,-0.88703,-0.76987
,,,2022-07-26 14:41:45.057,-0.71967,-0.76987
,,,2022-07-26 14:41:45.557,-0.87029,-0.78661
,,,2022-07-26 14:41:46.057,-0.98745,-0.88703
,,,2022-07-26 14:41:46.557,-0.80335,-0.71967
,,,2022-07-26 14:41:47.057,-0.85356,-0.78661
,,,2022-07-26 14:41:47.556,-0.78661,-0.68619
