Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
,,,2022-08-08 13:55:36.642,-0.118,-0.014
,,,2022-08-08 13:55:37.143,-0.137,-0.05
,,,2022-08-08 13:55:37.642,-0.147,-0.053
,,,2022-08-08 13:55:38.142,-0.118,-0.028
,,,2022-08-08 13:55:38.643,-0.187,-0.028
,,,2022-08-08 13:55:39.142,-0.172,-0.035
,,,2022-08-08 13:55:39.642,-0.12,-0.05
,,,2022-08-08 13:55:40.143,-0.098,-0.033
,,,2022-08-08 13:55:40.644,-0.153,-0.023
,,,2022-08-08 13:55:41.143,-0.152,-0.021
,,,2022-08-08 13:55:41.643,-0.128,-0.004
,,,2022-08-08 13:55:42.142,-0.153,-0.033
,,,2022-08-08 13:55:42.642,-0.23,-0.041
,,,2022-08-08 13:55:43.141,-0.09,-0.018
,,,2022-08-08 13:55:43.641,-0.182,-0.009
,,,2022-08-08 13:55:44.142,-0.085,-0.031
,,,2022-08-08 13:55:44.642,-0.168,-0.038
,,,2022-08-08 13:55:45.143,-0.098,-0.016
,,,2022-08-08 13:55:45.641,-0.103,-0.014
,,,2022-08-08 13:55:46.142,-0.153,-0.029
,,,2022-08-08 13:55:46.642,-0.13,-0.016
,,,2022-08-08 13:55:47.143,-0.152,-0.021
,,,2022-08-08 13:55:47.643,-0.178,-0.033
,,,2022-08-08 13:55:48.142,-0.168,-0.031
,,,2022-08-08 13:55:48.641,-0.135,-0.026
,,,2022-08-08 13:55:49.142,-0.204,-0.021
,,,2022-08-08 13:55:49.643,-0.122,-0.019
,,,2022-08-08 13:55:50.143,-0.08,-0.014
,,,2022-08-08 13:55:50.642,-0.162,-0.021
,,,2022-08-08 13:55:51.142,-0.162,-0.031
,,,2022-08-08 13:55:51.643,-0.162,-0.023
,,,2022-08-08 13:55:52.141,-0.127,-0.031
,,,2022-08-08 13:55:52.641,-0.162,-0.055
,,,2022-08-08 13:55:53.141,-0.132,-0.028
,,,2022-08-08 13:55:53.641,-0.142,-0.014
,,,2022-08-08 13:55:54.142,-0.145,-0.051
,,,2022-08-08 13:55:54.642,-0.113,-0.026
,,,2022-08-08 13:55:55.142,-0.143,-0.006
