Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-08-08 13:27:48.813,-0.21,-0.065
Serial Number:,MY60101365,,2022-08-08 13:27:49.311,-0.204,-0.1
Firmware Version:,07.31.2020012900,,2022-08-08 13:27:49.810,-0.194,-0.091
Start Time:,2022-08-08 13:27:48.813,,2022-08-08 13:27:50.311,-0.227,-0.061
Stop Time:,2022-08-08 13:37:48.813,,2022-08-08 13:27:50.811,-0.168,-0.085
Sample Period:,0.5,,2022-08-08 13:27:51.312,-0.155,-0.1
,,,2022-08-08 13:27:51.811,-0.145,-0.105
,,,2022-08-08 13:27:52.311,-0.173,-0.105
,,,2022-08-08 13:27:52.812,-0.162,-0.063
,,,2022-08-08 13:27:53.312,-0.185,-0.155
,,,2022-08-08 13:27:53.812,-0.195,-0.093
,,,2022-08-08 13:27:54.311,-0.23,-0.045
,,,2022-08-08 13:27:54.811,-0.222,-0.07
,,,2022-08-08 13:27:55.312,-0.127,-0.118
,,,2022-08-08 13:27:55.811,-0.182,-0.11
,,,2022-08-08 13:27:56.310,-0.207,-0.088
,,,2022-08-08 13:27:56.811,-0.178,-0.081
,,,2022-08-08 13:27:57.312,-0.132,-0.096
,,,2022-08-08 13:27:57.811,-0.145,-0.07
,,,2022-08-08 13:27:58.311,-0.195,-0.08
,,,2022-08-08 13:27:58.811,-0.165,-0.105
,,,2022-08-08 13:27:59.310,-0.194,-0.076
,,,2022-08-08 13:27:59.811,-0.175,-0.075
,,,2022-08-08 13:28:00.310,-0.18,-0.088
,,,2022-08-08 13:28:00.811,-0.127,-0.073
,,,2022-08-08 13:28:01.312,-0.219,-0.085
,,,2022-08-08 13:28:01.811,-0.098,-0.11
,,,2022-08-08 13:28:02.310,-0.187,-0.05
,,,2022-08-08 13:28:02.811,-0.229,-0.118
,,,2022-08-08 13:28:03.311,-0.127,-0.106
,,,2022-08-08 13:28:03.810,-0.128,-0.118
,,,2022-08-08 13:28:04.311,-0.148,-0.061
,,,2022-08-08 13:28:04.811,-0.229,-0.108
,,,2022-08-08 13:28:05.310,-0.152,-0.083
,,,2022-08-08 13:28:05.810,-0.183,-0.09
,,,2022-08-08 13:28:06.310,-0.19,-0.083
,,,2022-08-08 13:28:06.811,-0.197,-0.073
,,,2022-08-08 13:28:07.311,-0.157,-0.086
,,,2022-08-08 13:28:07.810,-0.143,-0.076
,,,2022-08-08 13:28:08.311,-0.192,-0.12
,,,2022-08-08 13:28:08.810,-0.192,-0.106
,,,2022-08-08 13:28:09.311,-0.152,-0.056
,,,2022-08-08 13:28:09.811,-0.132,-0.1
,,,2022-08-08 13:28:10.310,-0.185,-0.088
,,,2022-08-08 13:28:10.810,-0.163,-0.073
,,,2022-08-08 13:28:11.311,-0.108,-0.106
,,,2022-08-08 13:28:11.811,-0.163,-0.073
,,,2022-08-08 13:28:12.311,-0.199,-0.076
,,,2022-08-08 13:28:12.811,-0.152,-0.118
,,,2022-08-08 13:28:13.311,-0.2,-0.065
,,,2022-08-08 13:28:13.810,-0.148,-0.085
,,,2022-08-08 13:28:14.311,-0.173,-0.091
,,,2022-08-08 13:28:14.811,-0.199,-0.106
,,,2022-08-08 13:28:15.311,-0.15,-0.078
,,,2022-08-08 13:28:15.810,-0.158,-0.15
,,,2022-08-08 13:28:16.311,-0.155,-0.123
,,,2022-08-08 13:28:16.812,-0.162,-0.073
,,,2022-08-08 13:28:17.311,-0.197,-0.08
,,,2022-08-08 13:28:17.812,-0.152,-0.095
,,,2022-08-08 13:28:18.311,-0.12,-0.088
,,,2022-08-08 13:28:18.811,-0.183,-0.1
,,,2022-08-08 13:28:19.311,-0.214,-0.108
,,,2022-08-08 13:28:19.811,-0.17,-0.093
,,,2022-08-08 13:28:20.310,-0.17,-0.048
,,,2022-08-08 13:28:20.811,-0.217,-0.093
,,,2022-08-08 13:28:21.310,-0.123,-0.117
,,,2022-08-08 13:28:21.811,-0.173,-0.093
,,,2022-08-08 13:28:22.311,-0.214,-0.125
,,,2022-08-08 13:28:22.812,-0.155,-0.143
,,,2022-08-08 13:28:23.311,-0.194,-0.058
,,,2022-08-08 13:28:23.811,-0.177,-0.095
,,,2022-08-08 13:28:24.310,-0.153,-0.07
,,,2022-08-08 13:28:24.812,-0.163,-0.063
,,,2022-08-08 13:28:25.312,-0.13,-0.113
,,,2022-08-08 13:28:25.811,-0.147,-0.088
,,,2022-08-08 13:28:26.310,-0.145,-0.073
,,,2022-08-08 13:28:26.810,-0.192,-0.117
,,,2022-08-08 13:28:27.311,-0.122,-0.12
,,,2022-08-08 13:28:27.811,-0.183,-0.075
,,,2022-08-08 13:28:28.311,-0.187,-0.103
,,,2022-08-08 13:28:28.810,-0.229,-0.075
,,,2022-08-08 13:28:29.310,-0.142,-0.068
,,,2022-08-08 13:28:29.810,-0.14,-0.056
,,,2022-08-08 13:28:30.310,-0.153,-0.09
,,,2022-08-08 13:28:30.811,-0.209,-0.112
,,,2022-08-08 13:28:31.310,-0.105,-0.08
,,,2022-08-08 13:28:31.811,-0.227,-0.096
,,,2022-08-08 13:28:32.312,-0.145,-0.088
,,,2022-08-08 13:28:32.811,-0.152,-0.101
,,,2022-08-08 13:28:33.312,-0.192,-0.095
,,,2022-08-08 13:28:33.812,-0.2,-0.056
,,,2022-08-08 13:28:34.310,-0.16,-0.1
,,,2022-08-08 13:28:34.810,-0.197,-0.145
,,,2022-08-08 13:28:35.311,-0.132,-0.096
,,,2022-08-08 13:28:35.811,-0.209,-0.083
,,,2022-08-08 13:28:36.310,-0.12,-0.098
,,,2022-08-08 13:28:36.810,-0.173,-0.118
,,,2022-08-08 13:28:37.309,-0.192,-0.066
,,,2022-08-08 13:28:37.810,-0.205,-0.075
,,,2022-08-08 13:28:38.310,-0.182,-0.048
,,,2022-08-08 13:28:38.810,-0.123,-0.091
,,,2022-08-08 13:28:39.311,-0.11,-0.086
,,,2022-08-08 13:28:39.811,-0.199,-0.143
,,,2022-08-08 13:28:40.311,-0.168,-0.06
,,,2022-08-08 13:28:40.811,-0.173,-0.096
,,,2022-08-08 13:28:41.311,-0.125,-0.137
,,,2022-08-08 13:28:41.811,-0.192,-0.096
,,,2022-08-08 13:28:42.311,-0.178,-0.061
,,,2022-08-08 13:28:42.812,-0.199,-0.108
,,,2022-08-08 13:28:43.312,-0.22,-0.075
,,,2022-08-08 13:28:43.811,-0.12,-0.083
,,,2022-08-08 13:28:44.311,-0.199,-0.088
,,,2022-08-08 13:28:44.810,-0.155,-0.05
,,,2022-08-08 13:28:45.311,-0.207,-0.056
,,,2022-08-08 13:28:45.812,-0.167,-0.095
,,,2022-08-08 13:28:46.311,-0.158,-0.083
,,,2022-08-08 13:28:46.812,-0.19,-0.055
,,,2022-08-08 13:28:47.312,-0.165,-0.15
,,,2022-08-08 13:28:47.812,-0.147,-0.086
,,,2022-08-08 13:28:48.312,-0.202,-0.076
,,,2022-08-08 13:28:48.812,-0.15,-0.083
,,,2022-08-08 13:28:49.311,-0.115,-0.128
,,,2022-08-08 13:28:49.811,-0.152,-0.088
,,,2022-08-08 13:28:50.311,-0.195,-0.08
,,,2022-08-08 13:28:50.811,-0.245,-0.08
,,,2022-08-08 13:28:51.310,-0.148,-0.09
,,,2022-08-08 13:28:51.810,-0.178,-0.096
,,,2022-08-08 13:28:52.311,-0.23,-0.13
,,,2022-08-08 13:28:52.812,-0.217,-0.098
,,,2022-08-08 13:28:53.312,-0.212,-0.048
,,,2022-08-08 13:28:53.811,-0.115,-0.106
,,,2022-08-08 13:28:54.310,-0.173,-0.106
,,,2022-08-08 13:28:54.810,-0.142,-0.066
,,,2022-08-08 13:28:55.310,-0.18,-0.108
,,,2022-08-08 13:28:55.812,-0.244,-0.103
,,,2022-08-08 13:28:56.313,-0.148,-0.071
,,,2022-08-08 13:28:56.811,-0.152,-0.101
,,,2022-08-08 13:28:57.312,-0.199,-0.056
,,,2022-08-08 13:28:57.811,-0.16,-0.071
,,,2022-08-08 13:28:58.311,-0.147,-0.098
,,,2022-08-08 13:28:58.811,-0.245,-0.07
,,,2022-08-08 13:28:59.311,-0.219,-0.103
,,,2022-08-08 13:28:59.811,-0.16,-0.071
,,,2022-08-08 13:29:00.312,-0.199,-0.112
,,,2022-08-08 13:29:00.811,-0.153,-0.113
,,,2022-08-08 13:29:01.312,-0.205,-0.08
,,,2022-08-08 13:29:01.812,-0.205,-0.113
,,,2022-08-08 13:29:02.311,-0.152,-0.101
,,,2022-08-08 13:29:02.812,-0.249,-0.133
,,,2022-08-08 13:29:03.311,-0.158,-0.117
,,,2022-08-08 13:29:03.812,-0.202,-0.081
,,,2022-08-08 13:29:04.311,-0.145,-0.061
,,,2022-08-08 13:29:04.811,-0.152,-0.091
,,,2022-08-08 13:29:05.312,-0.177,-0.117
,,,2022-08-08 13:29:05.811,-0.195,-0.093
,,,2022-08-08 13:29:06.311,-0.282,-0.098
,,,2022-08-08 13:29:06.810,-0.118,-0.065
,,,2022-08-08 13:29:07.311,-0.219,-0.083
,,,2022-08-08 13:29:07.811,-0.19,-0.101
,,,2022-08-08 13:29:08.311,-0.232,-0.098
,,,2022-08-08 13:29:08.810,-0.249,-0.12
,,,2022-08-08 13:29:09.310,-0.194,-0.07
,,,2022-08-08 13:29:09.811,-0.212,-0.073
,,,2022-08-08 13:29:10.312,-0.117,-0.123
,,,2022-08-08 13:29:10.810,-0.259,-0.068
,,,2022-08-08 13:29:11.310,-0.217,-0.123
,,,2022-08-08 13:29:11.811,-0.222,-0.133
,,,2022-08-08 13:29:12.311,-0.209,-0.085
,,,2022-08-08 13:29:12.811,-0.158,-0.095
,,,2022-08-08 13:29:13.310,-0.135,-0.1
,,,2022-08-08 13:29:13.810,-0.158,-0.075
,,,2022-08-08 13:29:14.310,-0.177,-0.081
,,,2022-08-08 13:29:14.811,-0.254,-0.117
,,,2022-08-08 13:29:15.312,-0.16,-0.035
,,,2022-08-08 13:29:15.810,-0.172,-0.083
,,,2022-08-08 13:29:16.310,-0.188,-0.081
,,,2022-08-08 13:29:16.811,-0.175,-0.088
,,,2022-08-08 13:29:17.312,-0.153,-0.05
,,,2022-08-08 13:29:17.812,-0.163,-0.08
,,,2022-08-08 13:29:18.312,-0.242,-0.056
,,,2022-08-08 13:29:18.811,-0.158,-0.127
,,,2022-08-08 13:29:19.312,-0.152,-0.081
,,,2022-08-08 13:29:19.811,-0.14,-0.09
,,,2022-08-08 13:29:20.311,-0.192,-0.101
,,,2022-08-08 13:29:20.810,-0.112,-0.061
,,,2022-08-08 13:29:21.310,-0.23,-0.132
,,,2022-08-08 13:29:21.810,-0.133,-0.078
,,,2022-08-08 13:29:22.310,-0.165,-0.093
,,,2022-08-08 13:29:22.810,-0.204,-0.06
,,,2022-08-08 13:29:23.310,-0.244,-0.06
,,,2022-08-08 13:29:23.810,-0.175,-0.085
,,,2022-08-08 13:29:24.311,-0.158,-0.118
,,,2022-08-08 13:29:24.812,-0.207,-0.095
,,,2022-08-08 13:29:25.311,-0.14,-0.1
,,,2022-08-08 13:29:25.811,-0.162,-0.098
,,,2022-08-08 13:29:26.312,-0.195,-0.103
,,,2022-08-08 13:29:26.811,-0.158,-0.075
,,,2022-08-08 13:29:27.312,-0.128,-0.12
,,,2022-08-08 13:29:27.812,-0.14,-0.066
,,,2022-08-08 13:29:28.310,-0.192,-0.068
,,,2022-08-08 13:29:28.811,-0.276,-0.083
,,,2022-08-08 13:29:29.312,-0.204,-0.076
,,,2022-08-08 13:29:29.810,-0.19,-0.091
,,,2022-08-08 13:29:30.311,-0.197,-0.086
,,,2022-08-08 13:29:30.812,-0.14,-0.117
,,,2022-08-08 13:29:31.311,-0.138,-0.066
,,,2022-08-08 13:29:31.812,-0.17,-0.093
,,,2022-08-08 13:29:32.311,-0.137,-0.09
,,,2022-08-08 13:29:32.810,-0.205,-0.076
,,,2022-08-08 13:29:33.310,-0.17,-0.155
,,,2022-08-08 13:29:33.812,-0.127,-0.076
,,,2022-08-08 13:29:34.311,-0.167,-0.071
,,,2022-08-08 13:29:34.810,-0.17,-0.036
,,,2022-08-08 13:29:35.310,-0.117,-0.091
,,,2022-08-08 13:29:35.810,-0.183,-0.086
,,,2022-08-08 13:29:36.310,-0.127,-0.065
,,,2022-08-08 13:29:36.810,-0.148,-0.115
,,,2022-08-08 13:29:37.310,-0.182,-0.068
,,,2022-08-08 13:29:37.810,-0.239,-0.101
,,,2022-08-08 13:29:38.310,-0.178,-0.091
,,,2022-08-08 13:29:38.810,-0.185,-0.06
,,,2022-08-08 13:29:39.310,-0.122,-0.076
,,,2022-08-08 13:29:39.810,-0.177,-0.086
,,,2022-08-08 13:29:40.310,-0.199,-0.095
,,,2022-08-08 13:29:40.810,-0.147,-0.101
,,,2022-08-08 13:29:41.310,-0.222,-0.091
,,,2022-08-08 13:29:41.810,-0.098,-0.058
,,,2022-08-08 13:29:42.311,-0.155,-0.098
,,,2022-08-08 13:29:42.812,-0.123,-0.035
,,,2022-08-08 13:29:43.312,-0.175,-0.085
,,,2022-08-08 13:29:43.810,-0.212,-0.091
,,,2022-08-08 13:29:44.311,-0.192,-0.063
,,,2022-08-08 13:29:44.810,-0.157,-0.088
,,,2022-08-08 13:29:45.310,-0.178,-0.173
,,,2022-08-08 13:29:45.810,-0.183,-0.061
,,,2022-08-08 13:29:46.312,-0.155,-0.058
,,,2022-08-08 13:29:46.812,-0.199,-0.095
,,,2022-08-08 13:29:47.311,-0.183,-0.08
,,,2022-08-08 13:29:47.811,-0.24,-0.101
,,,2022-08-08 13:29:48.312,-0.147,-0.101
,,,2022-08-08 13:29:48.812,-0.19,-0.117
,,,2022-08-08 13:29:49.310,-0.192,-0.113
,,,2022-08-08 13:29:49.810,-0.15,-0.117
,,,2022-08-08 13:29:50.311,-0.173,-0.101
,,,2022-08-08 13:29:50.811,-0.153,-0.081
,,,2022-08-08 13:29:51.312,-0.165,-0.091
,,,2022-08-08 13:29:51.811,-0.165,-0.048
,,,2022-08-08 13:29:52.311,-0.279,-0.122
,,,2022-08-08 13:29:52.812,-0.15,-0.075
,,,2022-08-08 13:29:53.311,-0.183,-0.155
,,,2022-08-08 13:29:53.810,-0.24,-0.066
,,,2022-08-08 13:29:54.310,-0.205,-0.142
,,,2022-08-08 13:29:54.810,-0.252,-0.061
,,,2022-08-08 13:29:55.311,-0.145,-0.117
,,,2022-08-08 13:29:55.811,-0.167,-0.066
,,,2022-08-08 13:29:56.312,-0.212,-0.091
,,,2022-08-08 13:29:56.811,-0.2,-0.085
,,,2022-08-08 13:29:57.311,-0.199,-0.085
,,,2022-08-08 13:29:57.811,-0.152,-0.06
,,,2022-08-08 13:29:58.313,-0.21,-0.06
,,,2022-08-08 13:29:58.811,-0.192,-0.15
,,,2022-08-08 13:29:59.310,-0.178,-0.157
,,,2022-08-08 13:29:59.810,-0.175,-0.075
,,,2022-08-08 13:30:00.312,-0.183,-0.086
,,,2022-08-08 13:30:00.811,-0.125,-0.085
,,,2022-08-08 13:30:01.312,-0.127,-0.076
,,,2022-08-08 13:30:01.811,-0.178,-0.066
,,,2022-08-08 13:30:02.311,-0.215,-0.09
,,,2022-08-08 13:30:02.811,-0.232,-0.105
,,,2022-08-08 13:30:03.311,-0.207,-0.103
,,,2022-08-08 13:30:03.811,-0.247,-0.071
,,,2022-08-08 13:30:04.311,-0.165,-0.106
,,,2022-08-08 13:30:04.811,-0.118,-0.113
,,,2022-08-08 13:30:05.311,-0.148,-0.07
,,,2022-08-08 13:30:05.811,-0.172,-0.098
,,,2022-08-08 13:30:06.310,-0.194,-0.068
,,,2022-08-08 13:30:06.810,-0.229,-0.083
,,,2022-08-08 13:30:07.310,-0.172,-0.096
,,,2022-08-08 13:30:07.810,-0.173,-0.068
,,,2022-08-08 13:30:08.310,-0.172,-0.085
,,,2022-08-08 13:30:08.811,-0.267,-0.063
,,,2022-08-08 13:30:09.311,-0.202,-0.08
,,,2022-08-08 13:30:09.811,-0.204,-0.128
,,,2022-08-08 13:30:10.310,-0.225,-0.122
,,,2022-08-08 13:30:10.811,-0.137,-0.11
,,,2022-08-08 13:30:11.312,-0.15,-0.098
,,,2022-08-08 13:30:11.811,-0.158,-0.05
,,,2022-08-08 13:30:12.311,-0.158,-0.113
,,,2022-08-08 13:30:12.812,-0.15,-0.068
,,,2022-08-08 13:30:13.312,-0.152,-0.11
,,,2022-08-08 13:30:13.810,-0.158,-0.135
,,,2022-08-08 13:30:14.310,-0.2,-0.08
,,,2022-08-08 13:30:14.810,-0.188,-0.063
,,,2022-08-08 13:30:15.310,-0.13,-0.085
,,,2022-08-08 13:30:15.810,-0.175,-0.055
,,,2022-08-08 13:30:16.310,-0.167,-0.093
,,,2022-08-08 13:30:16.811,-0.168,-0.086
,,,2022-08-08 13:30:17.312,-0.239,-0.122
,,,2022-08-08 13:30:17.810,-0.188,-0.118
,,,2022-08-08 13:30:18.311,-0.209,-0.117
,,,2022-08-08 13:30:18.811,-0.155,-0.095
,,,2022-08-08 13:30:19.311,-0.187,-0.095
,,,2022-08-08 13:30:19.811,-0.17,-0.078
