Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Minimum(1) (V),Minimum(4) (V)
Model:,MSO-X 4154A,,2022-07-26 15:06:44.019,-0.90377,-0.71967
Serial Number:,MY60101365,,2022-07-26 15:06:44.519,-0.76987,-0.82008
Firmware Version:,07.31.2020012900,,2022-07-26 15:06:45.019,-0.97071,-0.83682
Start Time:,2022-07-26 15:06:44.019,,2022-07-26 15:06:45.518,-0.85356,-0.71967
Stop Time:,2022-07-26 15:26:44.017,,2022-07-26 15:06:46.018,-0.85356,-0.76987
Sample Period:,0.5,,2022-07-26 15:06:46.517,-0.83682,-0.85356
,,,2022-07-26 15:06:47.018,-0.71967,-0.7364
,,,2022-07-26 15:06:47.518,-0.80335,-0.75314
,,,2022-07-26 15:06:48.019,-0.82008,-0.80335
,,,2022-07-26 15:06:48.517,-0.76987,-0.82008
,,,2022-07-26 15:06:49.018,-0.78661,-0.80335
,,,2022-07-26 15:06:49.518,-0.9205,-0.80335
,,,2022-07-26 15:06:50.018,-0.75314,-0.71967
,,,2022-07-26 15:06:50.517,-0.88703,-0.78661
,,,2022-07-26 15:06:51.017,-0.87029,-0.58577
,,,2022-07-26 15:06:51.519,-0.85356,-0.75314
,,,2022-07-26 15:06:52.018,-0.82008,-0.71967
,,,2022-07-26 15:06:52.517,-0.9205,-0.83682
,,,2022-07-26 15:06:53.018,-0.9205,-0.75314
,,,2022-07-26 15:06:53.518,-0.82008,-0.70293
,,,2022-07-26 15:06:54.018,-0.87029,-0.68619
,,,2022-07-26 15:06:54.518,-0.93724,-0.78661
,,,2022-07-26 15:06:55.018,-0.68619,-0.76987
,,,2022-07-26 15:06:55.518,-0.80335,-0.71967
,,,2022-07-26 15:06:56.018,-0.80335,-0.75314
,,,2022-07-26 15:06:56.518,-0.7364,-0.83682
,,,2022-07-26 15:06:57.018,-0.90377,-0.83682
,,,2022-07-26 15:06:57.518,-0.9205,-0.68619
,,,2022-07-26 15:06:58.018,-0.88703,-0.71967
,,,2022-07-26 15:06:58.518,-0.78661,-0.68619
,,,2022-07-26 15:06:59.018,-0.93724,-0.78661
,,,2022-07-26 15:06:59.517,-0.88703,-0.68619
,,,2022-07-26 15:07:00.018,-0.93724,-0.66946
,,,2022-07-26 15:07:00.519,-0.87029,-0.88703
,,,2022-07-26 15:07:01.018,-0.93724,-0.83682
,,,2022-07-26 15:07:01.517,-0.88703,-0.7364
,,,2022-07-26 15:07:02.018,-0.87029,-0.80335
,,,2022-07-26 15:07:02.518,-0.90377,-0.7364
,,,2022-07-26 15:07:03.018,-0.82008,-0.76987
,,,2022-07-26 15:07:03.518,-0.80335,-0.78661
,,,2022-07-26 15:07:04.018,-0.93724,-0.75314
,,,2022-07-26 15:07:04.518,-0.82008,-0.85356
,,,2022-07-26 15:07:05.018,-0.93724,-0.87029
,,,2022-07-26 15:07:05.519,-0.87029,-0.80335
,,,2022-07-26 15:07:06.018,-0.71967,-0.76987
,,,2022-07-26 15:07:06.518,-0.9205,-0.68619
,,,2022-07-26 15:07:07.018,-0.97071,-0.68619
,,,2022-07-26 15:07:07.516,-0.90377,-0.75314
,,,2022-07-26 15:07:08.016,-0.80335,-0.78661
,,,2022-07-26 15:07:08.518,-0.78661,-0.68619
,,,2022-07-26 15:07:09.017,-0.85356,-0.75314
,,,2022-07-26 15:07:09.518,-0.87029,-0.71967
